"Context","Question","Answer","Label"
"The fruit, which has a green pulpy flesh, is praised for its health benefits due to it being a good source of dietary fiber.","What colour is the pulpy flesh of this fruit?","Red",0
"This plant requires well-drained soil, lots of sun, and protection from cold. It produces a sweet and juicy treat that is often eaten fresh.","What sort of conditions does this plant need to thrive?","Shaded area and cold weather",0
"This plant is a greenish-yellow fruit when ripe, with sweet white (or pink) flesh inside, and is often used in smoothies.","How is this fruit often consumed?","Grilled",0
"This is a citrus plant, known for its tart taste, and is commonly used in cooking and baking.","What taste is associated with this plant?","Sweet",0
"This plant originates from a flowering tree, with each tree living and producing fruit for up to 100 years.","How long can this tree produce fruit?","Ten years",0
"Harvesting of this plant usually happens once a year, during a short period of a few weeks.","When is this plant harvested?","All year round",0
"Their high water content and combination of Vitamin C, fiber, and other organic compounds make them a very important staple of dietary health.","What vitamin is prominent in this plant?","Vitamin A",0
"The fruit is a member of the rose family and offers a distinctly aromatic scent which has made it popular amongst perfumers.","What scent does this fruit offer?","Orange scent",0
"The fruit usually develops from the fertilized flowers of the plant, carrying the seeds of the plant.","What is the fruit responsible for?","Carrying the leaves of the plant",0
"In culinary terms, it is often used in sweet applications like desserts or preserves, but they’re also popular in savoury dishes.","In what dishes is this commonly used?","Stir-fries",0
"One of its main features is its high liquid content, around 90%, which makes it very refreshing.","What is the liquid content of this fruit?","About 50%",0
"Each fruit contains a single hard stone, which houses the seed, or kernel. The trees are self-pollinating, and the flowers are white.","What colour are the flowers of this tree?","Pink",0
"It's often used in jams, jellies, and as a flavorful addition in various dishes.","Where do you typically find this ingredient?","Used in coffee",0
"The surrounding meat of the fruit is considered an excellent source of Vitamin C.","What is the fruit rich in?","Omega-3 fatty acids",0
"The fruits are picked by hand, typically during a single harvest period of a few weeks.","How are the fruits collected?","Using machines",0
"The fresh fruit has a delicate, white flesh with a floral aroma and high sugar content.","What is the taste of this fruit?","Sour",0
"Ripe bananas are often yellow and soft, making them ideal for smoothies and banana bread.","What color are ripe bananas?","Green",0
"Avocados contain healthy fats and are greatly favoured in many diets.","What is a common dietary use of avocados?","They are commonly used in baking desserts.",0
"Considered a superfood, pomegranates are praised for their antioxidant properties.","What are pomegranates most known for?","Their high protein content",0
"Strawberries offer a good source of vitamin C and manganese.","What nutrients are strawberries known for?","Vitamin B",0
"Kiwi fruits have green flesh with tiny black seeds on the inside.","What do the seeds inside a kiwi look like?","They are white and large.",0
"Mangoes are popularly grown in tropical climates.","Where are mangoes usually grown?","In desert climates",0
"Citrus fruits like oranges contain ample amounts of vitamin C","What vitamin is abundant in citrus fruits?","Vitamin D",0
"Peaches with their fuzzy skin are popular in both sweet and savoury dishes.","What is the skin of a peach like?","Smooth and glossy",0
"Tart in flavor, cherries are often made into jams or used in baking.","What flavor are cherries?","Sweet",0
"Coconuts have hard exterior shells with a sweet inner white flesh.","What's on the inside of a coconut?","Yellow flesh",0
"Watermelons have a green exterior and a juicy red or pink interior.","What color is the inside of a watermelon?","Blue",0
"In baking, apples can add sweetness and moistness to cakes.","What effect do apples have in cakes?","They make the cake dry",0
"Pineapples have a natural enzyme that can tenderize meat.","What is a common cooking use of pineapples?","They are often used to thicken sauces",0
"Grapes can be used to make wine, juice, jelly, and raisins.","What can grapes be processed into?","Tea",0
"New citrus fruits can appear while some are still ripe on the tree.","What happens when citrus fruits are not harvested?","They fall off the tree before new ones appear",0
"The 'Pink Lady' apple is known for its tart yet sweet flavour.","What does a 'Pink Lady' apple taste like?","Bitter",0
